,ProjectID,RequirementText,Class,IsFunctional,Length,AdvMod,AMod,AComp,DTreeHeight,Modal,Adjective,Noun,Adverb,Cardinal,CompSupAdj,CompSupAdv,Words,TreeHeight,SubTrees
0,1,'The system shall refresh the display every 60 seconds.',PE,0,56,0,0,0,3,1,0,1,0,1,0,0,9,6,4
1,1,'The application shall match the color of the schema set forth by Department of Homeland Security',LF,0,98,0,0,0,10,1,0,3,0,0,0,0,16,13,3
2,1,' If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',US,0,162,0,0,1,7,2,2,2,0,3,0,0,29,14,7
3,1,' The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.',A,0,199,1,2,2,7,2,4,2,2,2,0,0,36,12,6
4,1,' If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',US,0,206,0,1,1,8,2,3,3,0,3,0,0,35,18,5
5,1,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',SE,0,182,1,2,0,8,3,3,3,1,0,0,0,29,13,3
6,1,'The product shall be intuitive and self-explanatory.  :  90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',US,0,174,0,1,1,9,2,5,4,0,2,0,0,30,16,5
7,1,'The product shall respond fast to keep up-to-date data in the display.',PE,0,72,1,0,0,6,1,0,1,1,0,0,0,14,10,4
8,1,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',F,1,95,0,0,0,9,1,0,1,0,0,0,0,19,14,4
9,1,'The system shall display Events in a vertical table by time.',F,1,62,0,1,0,4,1,1,1,0,0,0,0,11,7,4
10,1,'The system shall display the Events in a graph by time.',F,1,57,0,0,0,4,1,0,1,0,0,0,0,11,7,4
11,1,'The system shall display Events or Activities.',F,1,48,0,0,0,3,1,0,2,0,0,0,0,7,6,4
12,1,' The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table',F,1,118,0,0,0,6,1,1,1,1,5,0,0,24,10,4
13,1,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',F,1,103,0,0,0,11,0,0,2,0,0,0,0,20,10,3
14,1,'The table side of the display shall be split into 2 regions: sequential and temporal.',F,1,87,0,1,0,5,1,3,1,0,1,0,0,15,9,4
15,1,'The top 1/4 of the table will hold events that are to occur sequentially.',F,1,75,1,0,0,5,1,1,1,1,2,0,0,15,13,4
16,1,'The bottom 3/4 of the table will hold events that occur according to its relevance to current time.',F,1,101,0,1,0,9,1,2,1,0,2,0,0,19,14,4
17,1,'The system shall color code events according to their variance from current time.',F,1,83,0,1,0,6,1,1,1,0,0,0,0,13,10,4
18,1,'The system shall display data from the Sync Matrix 1.0 and Exercise Management Tool 1.0 applications',F,1,102,0,0,0,4,1,0,5,0,4,0,0,18,9,3
19,1,'The system shall link Events back to either the Sync Matrix 1.0 or the Exercise Managment Tool 1.0 applications for modifications.',F,1,132,1,0,0,7,1,0,5,1,4,0,0,23,11,4
20,1,'The system shall allow modification of the display.',F,1,53,0,0,0,5,1,0,3,0,0,0,0,8,8,4
21,1,'The system shall offer a display of all the Events in the exercise.',F,1,69,0,0,0,7,1,0,1,0,0,0,0,13,10,4
22,1,'The system shall filter data by: Venues and Key Events.',F,1,57,0,0,0,5,1,0,2,0,0,0,0,10,8,4
23,1,'The system shall allow a user to define the time segments',F,1,59,0,0,0,4,1,0,1,0,0,0,0,11,9,3
24,1,'The system shall display the local and exercise time in separate clocks',F,1,73,0,2,0,5,1,2,1,0,0,0,0,12,7,3
25,1,'The system shall offer the ability to pause and resume the refresh of data.',F,1,77,0,0,0,7,1,0,1,0,0,0,0,14,12,4
26,1,'The system shall provide charts for the Activity or Event actual versus assumed time.',F,1,87,0,0,0,6,1,1,2,0,0,0,0,14,10,4
27,1,'The system shall provide a history report of changes made to the Activity or Event data',F,1,89,0,0,0,9,1,0,2,0,0,0,0,16,11,3
28,2,'The look and feel of the system shall conform to the user interface standards of the smart device.',LF,0,100,0,1,0,6,1,1,1,0,0,0,0,18,9,4
29,2,' The user interface shall have standard menus  buttons for navigation',LF,0,71,0,1,0,4,1,1,2,0,0,0,0,10,8,4
30,2,'The system shall have a professional appearance',LF,0,49,0,1,0,3,1,1,2,0,0,0,0,7,6,3
31,2,'The product shall have a consistent color scheme and fonts.',LF,0,61,0,1,0,3,1,1,1,0,0,0,0,10,6,4
32,2,'The system shall be used by realtors with no training.',US,0,56,0,0,0,6,1,0,1,0,0,0,0,10,9,4
33,2,'The system shall be intuitive and self explanatory.',US,0,53,0,0,1,4,1,2,2,0,0,0,0,8,7,4
34,2,'The product shall be easy for a realtor to learn.',US,0,51,0,0,1,4,1,1,2,0,0,0,0,10,10,4
35,2,'The product shall use symbols and words that are naturally understandable by the realtor community.',US,0,101,0,0,1,7,1,1,2,1,0,0,0,15,12,4
36,2,'The product shall produce search results in an acceptable time',PE,0,64,0,1,0,4,1,1,1,0,0,0,0,10,7,3
37,2,'The search results shall be returned no later 30      seconds  after the user has entered the search criteria',PE,0,111,0,0,0,4,1,0,2,1,1,0,0,18,10,3
38,2,'The product shall generate a CMA report in an acceptable time.',PE,0,64,0,1,0,4,1,1,1,0,0,0,0,11,7,4
39,2,'The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.',PE,0,106,0,0,0,4,1,0,2,1,1,0,0,19,10,4
40,2,'The product shall synchronize contacts and appointments in an acceptable time.',PE,0,80,0,1,0,5,1,1,2,0,0,0,0,11,7,4
41,2,'The product shall synchronize with the office system every hour.',PE,0,66,0,0,0,4,1,0,4,0,0,0,0,10,7,4
42,2,' The product shall be available for use 24 hours per day  365 days  per year',A,0,78,0,0,1,8,1,1,2,0,2,0,0,15,10,4
43,2,' Out of 1000 accesses to the system  the system is available 999 times.',A,0,73,0,0,1,5,0,1,2,0,2,0,0,13,7,6
44,2,'The product shall operate in offline mode whenever internet connection is unavailable.',FT,0,88,1,0,1,4,1,2,4,0,0,0,0,12,9,4
45,2,' The product shall allow the user to view previously downloaded search results  CMA reports  and appointments.',FT,0,112,1,0,0,6,1,0,1,1,0,0,0,16,11,5
46,2,'The product shall retain user preferences in the event of a failure.',FT,0,70,0,0,0,7,1,1,1,0,0,0,0,12,9,4
47,2,'100% of saved user preferences shall be restored when system comes back online.',FT,0,81,3,0,0,5,1,1,1,1,1,0,0,13,10,4
48,2,'The product shall be able to support multiple remote users',SC,0,60,0,2,0,5,1,2,1,0,0,0,0,10,7,5
49,2,'The product shall be able support 1000 simultaneous users.',SC,0,60,0,2,0,4,1,2,1,0,1,0,0,9,9,4
50,2,'The product shall be capable of handling the existing 1000 users. This number is expected to grow 5 times within the next year.',SC,0,129,0,1,1,6,1,2,2,0,2,0,0,23,11,6
51,2,'The product shall be installed by an untrained realtor   without recourse to separately-printed instructions.',US,0,111,1,1,0,7,1,2,1,1,0,0,0,15,10,4
52,2,'90% of untrained realtors shall be able to install the product on their device without printed instructions',US,0,109,0,2,0,6,1,3,2,0,1,0,0,17,11,3
53,2,'The product is expected to run on Windows CE and Palm operating systems.',PO,0,74,0,0,0,6,0,0,1,0,0,0,0,13,11,4
54,2,'Only registered realtors shall be able to access the system.',SE,0,62,0,0,0,5,1,2,2,1,0,0,0,10,10,4
55,2,'Every user of the system shall be authenticated and authorized.',SE,0,65,0,0,0,5,1,0,2,0,0,0,0,10,6,4
56,2,'The product shall prevent its data from incorrect data being introduced.',SE,0,74,0,1,0,5,1,1,2,0,0,0,0,11,9,4
57,2,'The system shall allow a real estate agent to query MLS information',F,1,69,0,1,0,5,1,1,1,0,0,0,0,12,9,3
58,2,'The user shall be able to get driving directions to a selected property',F,1,73,0,0,0,7,1,2,1,0,0,0,0,13,12,3
59,2,'The user shall be able to download appointments and contact information for clients',F,1,85,0,0,0,6,1,1,2,0,0,0,0,13,11,2
60,2,'The system shall display clear property images in the search results',F,1,70,0,1,0,5,1,1,2,0,0,0,0,11,7,3
61,2,'The system shall update or create new property listings in the MLS',F,1,68,0,1,0,6,1,1,1,0,0,0,0,12,8,3
62,2,'Realtor shall be able to generate a CMA report based on property criteria',F,1,75,0,0,0,8,1,1,1,0,0,0,0,13,13,3
63,2,'The system shall be able to call the seller or buyer to schedule an appointment',F,1,81,0,0,0,6,1,1,4,0,0,0,0,15,13,3
64,2,'The realtor shall be notified of new client appointments after automatic synchronization with office system',F,1,109,0,2,0,6,1,2,1,0,0,0,0,15,10,3
65,2,'The realtor shall be able to retrieve a map showing property locations for a specified area',F,1,93,0,0,0,9,1,3,1,0,0,0,0,16,14,3
66,2,'The system shall notify the realtor when a seller or buyer responds to an appointment request',F,1,95,1,0,0,5,1,0,1,0,0,0,0,16,10,3
67,2,'The product shall allow the user to save the property search results.',F,1,71,0,0,0,5,1,0,1,0,0,0,0,12,9,4
68,3,'The system shall be easy to use by the Program Administrators/Nursing Staff Members.',US,0,86,0,0,1,7,1,1,1,0,0,0,0,14,12,4
69,3,'All of the users shall be able to use the system after one day of training.',US,0,77,0,0,0,7,1,1,3,0,1,0,0,16,10,5
70,3,'The system shall help the user avoid making mistakes while scheduling classes and clinicals for the nursing students.',US,0,119,0,0,0,7,1,0,4,0,0,0,0,18,11,4
71,3,'The number of mistakes noted by the students shall be decreased by 50% in the first year.',US,0,91,0,1,0,8,1,1,2,0,1,0,0,17,9,4
72,3,'The system shall be intuitive to the Program Administrators/Nursing Staff Members.',US,0,84,0,0,1,6,1,1,1,0,0,0,0,12,8,4
73,3,'2 out of 3 Program Administrators/Nursing Staff Members shall successfully be able to use the system to manage the scheduling of classes and clinicals.',US,0,153,1,0,0,8,1,1,2,1,2,0,0,25,15,4
74,3,'The system shall use symbols and words that are naturally understandable by the user community.',US,0,97,0,0,1,7,1,1,2,1,0,0,0,15,12,4
75,3,'The verbiage used within the system shall be consistent with Standard English and the terminology of the national Nursing Community.',US,0,134,0,0,1,8,1,2,4,0,0,0,0,20,11,4
76,3,'Staff members shall be able to complete a set of tasks in a timely manner.',PE,0,76,0,1,0,6,1,2,2,0,0,0,0,15,12,4
77,3,'The response time of general student management tasks shall take no longer than 5 seconds and the response time of schedule generation shall take no longer than 30 seconds.',PE,0,174,0,1,0,7,2,2,3,2,2,2,0,29,9,5
78,3,'The system shall be available for use between the hours of 8am and 6pm.',A,0,73,0,0,1,10,1,1,1,0,2,0,0,14,13,4
79,3,'The system shall achieve 95% up time.',A,0,39,0,0,0,3,1,0,2,0,1,0,0,7,7,4
80,3,'system shall be able to handle all of the user requests/usage during business hours.',SC,0,86,0,0,0,8,1,2,1,0,0,0,0,15,12,4
81,3,'The system shall cater to 10 simultaneous users from 9am to 5pm.',SC,0,66,0,1,0,5,1,1,1,0,3,0,0,12,8,4
82,3,'The system shall be capable of processing 100% of nursing students and their classes for the next 10 years.',SC,0,109,0,1,1,8,1,2,3,0,2,0,0,19,13,4
83,3,'The system shall be expected to manage the nursing program curriculum and class/clinical scheduling for a minimum of 5 years.',SC,0,127,0,1,0,7,1,1,1,0,1,0,0,21,13,4
84,3,'The system shall able to operate within a business office environment typical of the Nursing Department at DePaul University.',O,0,127,0,1,0,10,1,1,4,0,0,0,0,19,15,4
85,3,'The system shall be used within the specifications defined by the computers used by the Program Administrators/Nursing Staff Members.',O,0,135,0,0,0,11,1,0,1,0,0,0,0,20,14,4
86,3,'The system shall operate within the Windows XP Professional operating system.',O,0,79,0,0,0,5,1,0,3,0,0,0,0,11,7,4
87,3,'The system shall interface with CampusConnect’s central server',O,0,64,0,1,0,5,1,2,1,0,0,0,0,9,9,3
88,3,'The system shall interface with the faculty central server.',O,0,61,0,1,0,4,1,1,3,0,0,0,0,9,7,4
89,3,'The system shall interface with the student master server.',O,0,60,0,0,0,4,1,0,4,0,0,0,0,9,7,4
90,3,'We must be able to interface with any HTML browser.',O,0,53,0,0,0,6,1,1,1,0,0,0,0,10,11,4
91,3,'Only authorized users shall have access to clinical site information.',SE,0,71,1,1,0,6,1,2,3,1,0,0,0,10,8,4
92,3,'Program Administrators/Nursing Staff Members are the only people who shall have access to clinical site details.',SE,0,114,0,2,0,8,1,2,1,0,0,0,0,17,12,4
93,3,'Only authorized users shall have access to students’ personal information.',SE,0,76,1,2,0,5,1,2,2,1,0,0,0,10,9,4
94,3,'Dr Susan Poslusny and Dr Julie Donalek are the only people who shall have access to students’ personal information.',SE,0,117,0,3,0,7,1,2,2,0,0,0,0,19,13,4
95,3,'Only authorized users shall have access to the portion of the system that interfaces with CampusConnect.',SE,0,106,1,0,0,9,1,1,1,1,0,0,0,16,13,4
96,3,'Fit Criterion: Dr Susan Poslusny and Karen Sysol are the only people who shall have access to the final class section scheduling for the system that interfaces with CampusConnect.',SE,0,181,0,2,0,11,1,2,4,0,0,0,0,29,20,5
97,3,'The system shall have basic data integrity checking to reduce the possibility of incorrect or invalid data being introduced.',SE,0,126,0,2,0,8,1,2,2,0,0,0,0,19,13,4
98,3,'The system shall protect private information in accordance with the organization’s information policy.',SE,0,104,0,1,0,7,1,2,6,0,0,0,0,14,11,4
99,3,'The system shall be built such that it is as secure as possible from malicious interference.',SE,0,94,0,1,1,6,1,4,2,1,0,0,0,16,12,4
100,3,'The system shall use the organization’s standard virus protection software to help monitor threats to itself.',SE,0,111,0,1,0,5,1,1,1,0,0,0,0,17,13,4
101,3,'A cohort shall be associated to one Program of Study offered by the department.',F,1,81,0,0,0,7,1,0,2,0,1,0,0,14,11,4
102,3,'Program Administrators and Nursing Staff Members shall be able to add a listing of students to a cohort.',F,1,106,0,0,0,6,1,1,3,0,0,0,0,18,12,4
103,3,'Program Administrators and Nursing Staff Members shall be able to add a single student to a cohort',F,1,100,0,1,0,6,1,2,3,0,0,0,0,17,11,3
104,3,'Students added to a cohort shall be eligible for the cohort’s Program of Study.',F,1,81,0,0,1,7,1,2,2,0,0,0,0,15,11,4
105,3,'Program Administrators and Nursing Staff Members shall be able to specify the preferred sequence of classes for a given cohort.',F,1,129,0,1,0,6,1,2,3,0,0,0,0,20,14,4
106,3,' For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',F,1,165,0,0,0,9,2,1,1,0,0,0,0,27,14,6
107,3,' For each class within a sequence for a cohort  Program Administrators and Nursing Staff Members shall be able to specify which quarter that class will be offered.',F,1,165,0,0,0,9,2,1,1,0,0,0,0,27,14,6
108,3,'Program Administrators and Nursing Staff Members shall be able to add new classes to a sequence of classes',F,1,108,0,1,0,7,1,2,3,0,0,0,0,18,13,3
109,3,'Program Administrators and Nursing Staff Members shall be able to add clinical classes or sections to a sequence of classes',F,1,125,0,1,0,9,1,2,3,0,0,0,0,20,13,3
110,3,' Program Administrators and Nursing Staff Members shall be able to add a new cohort to the system  identified by start month and year.',F,1,136,0,1,0,9,1,3,3,0,0,0,0,23,14,5
111,3,'Program Administrators and Nursing Staff Members shall be able to add new classes for the nursing department into the system.',F,1,127,0,1,0,6,1,2,3,0,0,0,0,20,12,4
112,3,'A class shall be either a non-clinical class or a clinical class.',F,1,67,0,2,0,4,1,3,3,0,0,0,0,13,7,4
113,3,' A non-clinical class shall specify the course name  lecture room requirements  and instructor needs.',F,1,103,0,0,0,5,1,2,2,0,0,0,0,15,8,5
114,3,' A clinical class shall specify the course name  lecture room requirements  clinical site needs  lecture instructor needs  and clinical lab instructor needs.',F,1,159,0,1,0,7,1,4,4,0,0,0,0,22,12,5
115,3,'Program Administrators/Nursing Staff Members shall be able to create a new Program of Study.',F,1,94,0,0,0,6,1,2,5,0,0,0,0,15,12,4
